@relation SEA
@attribute x real
@attribute y real
@attribute z real
@attribute class {n,p}

@data
2.091,9.533,9.196,p
5.194,5.105,7.340,p
5.447,3.100,0.973,n
1.244,3.955,2.236,n
0.808,2.200,3.481,n
0.318,0.166,8.584,p
0.272,0.029,0.840,p
0.203,0.524,2.315,p
0.957,0.017,4.754,p
7.219,7.457,9.884,p
0.018,0.021,3.756,p
3.062,2.130,4.553,p
3.129,0.573,9.575,n
0.750,3.626,7.800,p
6.501,1.026,8.267,p
0.025,0.457,1.620,p
8.145,9.696,0.162,n
2.930,1.120,4.210,p
0.257,0.525,0.709,p
0.312,0.055,5.219,n
0.337,0.012,4.745,p
2.790,5.749,2.253,p
1.742,9.818,7.682,n
3.545,4.863,3.448,n
1.679,5.123,4.031,p
0.053,0.011,3.007,p
0.588,0.254,8.456,p
7.952,9.727,2.635,p
1.988,6.219,7.750,p
8.258,3.258,6.424,n
1.973,4.656,8.758,p
8.422,3.161,0.076,n
2.453,8.854,7.521,n
1.359,8.759,0.845,n
5.693,2.576,9.933,n
1.950,5.890,8.487,p
4.382,2.949,4.971,p
4.713,1.157,7.367,p
1.939,9.560,1.375,n
2.871,7.858,4.505,n
0.307,5.953,4.633,p
4.226,4.910,5.241,n
3.311,6.526,2.917,n
6.348,3.445,7.564,n
0.722,4.794,9.926,p
5.599,1.539,0.423,p
0.958,4.614,3.633,p
7.865,0.944,4.253,p
2.595,6.779,0.967,n
5.145,2.766,2.038,p
0.279,0.062,5.319,p
0.634,0.004,7.135,p
8.463,0.243,5.639,n
8.892,3.830,3.960,n
0.266,0.644,3.646,p
0.340,0.399,0.493,p
5.603,6.829,8.850,n
0.575,0.366,1.777,p
0.289,0.073,5.435,p
0.528,0.251,2.979,p
0.115,0.614,0.102,p
3.700,2.518,9.095,n
0.145,0.537,0.928,p
2.862,0.502,3.182,n
0.362,0.099,9.982,n
0.863,4.219,7.055,n
0.122,0.774,8.468,p
0.217,0.721,7.849,p
0.068,0.140,2.066,p
8.676,6.180,6.179,n
9.549,9.854,2.081,n
0.344,0.177,7.661,p
0.067,0.297,6.140,n
9.877,4.246,6.146,n
0.513,0.042,3.224,p
0.552,0.210,1.780,p
0.083,0.571,8.735,p
0.233,0.379,8.214,p
4.981,9.416,7.046,n
0.221,2.351,8.213,p
7.762,5.995,7.165,n
5.489,2.417,8.142,n
0.040,0.061,4.932,p
0.135,0.231,9.785,p
0.316,0.649,0.440,p
3.374,3.341,0.502,n
2.883,9.055,2.437,n
5.181,9.352,4.789,n
8.634,2.518,0.836,n
0.583,0.044,0.559,p
1.058,1.270,8.624,n
0.511,0.007,4.700,p
0.191,0.471,3.714,p
4.007,4.814,1.607,n
0.337,0.491,7.138,p
0.621,0.076,4.318,p
6.000,0.139,5.412,n
0.028,0.609,0.719,p
0.171,0.354,0.368,p
2.926,1.916,5.646,n
0.167,0.287,2.209,p
0.132,0.399,7.626,n
0.595,0.329,8.782,p
0.182,0.024,3.987,p
0.891,0.090,4.505,p
0.276,0.270,8.912,p
0.316,0.035,5.822,p
6.013,8.634,7.227,n
9.834,5.212,1.111,p
2.377,8.606,0.554,n
7.302,8.635,9.845,n
0.043,0.823,3.614,p
4.247,1.522,5.181,n
0.016,0.441,3.078,p
7.693,3.324,6.001,n
1.347,4.198,2.029,p
0.045,0.125,8.528,p
2.516,0.108,3.002,p
5.498,7.867,9.114,n
5.239,3.357,7.020,n
0.699,0.181,2.836,n
0.274,1.104,0.409,n
0.189,0.409,3.406,p
0.018,0.226,4.834,p
0.002,0.160,4.482,p
9.253,7.675,1.996,p
5.520,6.019,1.977,n
0.875,0.019,0.737,p
0.080,0.168,5.915,p
0.515,0.285,6.857,p
0.136,0.073,2.364,p
9.710,0.060,3.975,n
