@relation SEA
@attribute x real
@attribute y real
@attribute z real
@attribute class {n,p}

@data
0.096,0.326,8.945,p
0.398,0.413,2.199,n
2.266,1.930,8.801,n
0.420,0.033,5.485,n
0.578,0.356,3.490,n
0.015,0.015,8.202,p
0.720,0.011,6.319,p
3.332,5.725,4.075,n
0.292,0.035,2.297,p
0.294,8.313,6.127,p
0.689,0.231,3.762,p
3.073,7.774,8.741,n
1.429,9.830,3.580,n
0.343,0.525,3.691,p
0.673,0.305,5.691,p
0.569,7.749,8.696,n
0.079,0.218,6.675,p
9.948,3.342,9.493,n
6.020,6.592,3.096,p
5.544,6.781,5.193,n
1.902,5.409,0.863,n
3.988,4.450,9.536,p
3.704,5.379,7.296,n
0.510,0.133,7.051,p
7.150,7.031,7.579,p
3.089,5.779,5.640,p
3.631,8.461,6.148,n
0.671,0.259,9.697,p
9.436,9.826,0.773,n
8.968,2.233,8.685,n
0.389,0.112,2.949,n
3.950,1.707,1.889,n
5.993,0.962,1.464,p
0.360,0.498,8.130,p
3.037,3.505,5.960,p
1.507,9.027,3.312,n
1.254,2.855,7.758,p
1.416,5.040,1.332,p
4.522,7.539,8.638,p
5.932,4.562,6.179,n
4.651,5.686,5.887,n
7.302,3.622,6.623,n
0.654,1.881,7.548,p
7.485,9.379,6.142,n
6.404,5.173,8.871,n
9.404,0.656,0.018,n
8.743,0.505,7.342,n
2.955,3.346,4.669,p
0.449,7.879,5.591,p
1.658,1.138,4.942,p
0.279,0.062,5.319,p
0.634,0.004,7.135,p
8.463,0.243,5.639,p
8.892,3.830,3.960,n
0.266,0.644,3.646,p
0.340,0.399,0.493,n
5.603,6.829,8.850,n
0.575,0.366,1.777,p
0.289,0.073,5.435,p
0.528,0.251,2.979,p
0.115,0.614,0.102,p
3.700,2.518,9.095,p
0.145,0.537,0.928,p
2.862,0.502,3.182,p
0.362,0.099,9.982,p
0.863,4.219,7.055,n
0.122,0.774,8.468,p
0.217,0.721,7.849,p
0.068,0.140,2.066,p
8.676,6.180,6.179,n
9.549,9.854,2.081,n
0.344,0.177,7.661,p
0.067,0.297,6.140,p
9.877,4.246,6.146,n
0.513,0.042,3.224,p
0.552,0.210,1.780,p
0.083,0.571,8.735,p
0.233,0.379,8.214,p
4.981,9.416,7.046,n
0.221,2.351,8.213,n
7.762,5.995,7.165,n
5.489,2.417,8.142,n
0.040,0.061,4.932,p
0.135,0.231,9.785,p
0.316,0.649,0.440,p
3.374,3.341,0.502,n
2.883,9.055,2.437,n
5.181,9.352,4.789,n
8.634,2.518,0.836,n
0.583,0.044,0.559,p
1.058,1.270,8.624,n
0.511,0.007,4.700,p
0.191,0.471,3.714,p
4.007,4.814,1.607,n
0.337,0.491,7.138,p
0.621,0.076,4.318,p
6.000,0.139,5.412,n
0.028,0.609,0.719,p
0.171,0.354,0.368,p
2.926,1.916,5.646,n
0.167,0.287,2.209,p
0.132,0.399,7.626,p
0.595,0.329,8.782,p
0.182,0.024,3.987,p
0.891,0.090,4.505,p
0.276,0.270,8.912,n
0.316,0.035,5.822,p
6.013,8.634,7.227,n
9.834,5.212,1.111,n
2.377,8.606,0.554,n
7.302,8.635,9.845,n
0.043,0.823,3.614,p
4.247,1.522,5.181,n
0.016,0.441,3.078,p
7.693,3.324,6.001,n
1.347,4.198,2.029,n
0.045,0.125,8.528,n
2.516,0.108,3.002,p
5.498,7.867,9.114,n
5.239,3.357,7.020,n
0.699,0.181,2.836,p
0.274,1.104,0.409,n
0.189,0.409,3.406,p
0.018,0.226,4.834,p
0.002,0.160,4.482,p
9.253,7.675,1.996,n
5.520,6.019,1.977,n
0.875,0.019,0.737,n
0.080,0.168,5.915,n
0.515,0.285,6.857,p
0.136,0.073,2.364,p
9.710,0.060,3.975,n
0.091,0.242,0.603,p
7.204,1.817,5.510,n
0.102,0.084,6.158,p
0.053,0.367,6.864,p
0.899,4.429,0.293,n
0.305,0.259,5.787,p
1.819,0.887,1.693,p
5.628,2.676,0.022,n
0.096,0.487,3.779,p
2.289,0.800,7.747,n
0.859,6.260,5.187,n
0.129,0.327,0.621,p
4.203,4.348,5.304,n
0.608,0.390,2.806,n
0.382,0.145,9.489,p
