@relation CIRCLES
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.21138,0.46152,p
0.30152,0.48393,p
0.74452,0.09611,p
0.62346,0.72663,p
0.27769,0.60207,n
0.22960,0.38223,n
0.11953,0.59894,n
0.43808,0.70761,p
0.24240,0.62874,n
0.35345,0.54448,n
0.30710,0.54166,n
0.88893,0.13522,p
0.97934,0.47279,n
0.50843,0.71272,p
0.14127,0.61892,n
0.08435,0.49655,n
0.11320,0.45208,n
0.10783,0.57112,n
0.92129,0.35429,p
0.79468,0.45481,n
0.39013,0.93411,p
0.14173,0.00560,p
0.17307,0.41472,n
0.10432,0.51809,n
0.22209,0.56171,n
0.37132,0.68423,p
0.20709,0.44314,n
0.22288,0.65726,n
0.15228,0.84435,p
0.98063,0.53145,p
0.22560,0.32991,p
0.23112,0.47325,n
0.15790,0.52961,n
0.30751,0.58593,n
0.34575,0.31871,n
0.52932,0.91900,p
0.12010,0.52704,n
0.78283,0.42783,p
0.97408,0.95814,p
0.05197,0.60795,p
0.90701,0.02609,p
0.93674,0.78580,p
0.24170,0.37486,n
0.21847,0.61338,n
0.23386,0.64161,n
0.07489,0.25866,p
0.27531,0.54067,n
0.22327,0.51757,n
0.10777,0.92741,p
0.91691,0.02516,p
0.31664,0.50799,n
0.38269,0.52516,p
0.20213,0.53197,n
0.45031,0.48841,p
0.44932,0.87320,p
0.51907,0.98697,p
0.32324,0.41715,n
0.38133,0.20783,p
0.20628,0.51066,n
0.26989,0.39803,n
0.68508,0.27005,p
0.19704,0.41050,n
0.33926,0.49629,n
0.15380,0.41040,n
0.08147,0.81255,n
0.05443,0.53367,n
0.69478,0.36782,p
0.61951,0.77203,p
0.14675,0.46367,n
0.85534,0.95745,p
0.19763,0.39263,n
0.14406,0.54147,n
0.14836,0.63693,p
0.24772,0.58449,n
0.28912,0.53494,n
0.87989,0.61246,p
0.24595,0.08548,p
0.16493,0.44822,n
0.10429,0.74456,p
0.17209,0.40446,p
0.89621,0.58050,p
0.05320,0.49098,n
0.25099,0.61286,n
0.25739,0.54564,n
0.81745,0.34170,p
0.26137,0.51843,n
0.28997,0.51943,n
0.26960,0.22032,p
0.45335,0.48262,n
0.08315,0.58004,n
0.52262,0.01625,p
0.20762,0.49480,n
0.10595,0.53257,n
0.14448,0.38509,n
0.04806,0.57638,p
0.24535,0.70746,p
0.27312,0.37690,n
0.30199,0.34912,n
0.97123,0.81280,p
0.88465,0.07206,p
0.80833,0.93082,p
0.16553,0.47208,p
0.18186,0.97526,p
0.99829,0.74130,p
0.03368,0.54684,p
0.12448,0.50149,n
0.37869,0.96325,p
0.18994,0.72386,p
0.86053,0.91676,n
0.21236,0.38533,n
0.29476,0.90229,p
0.30794,0.29483,p
0.11325,0.63341,p
0.23287,0.35760,n
0.27918,0.52146,n
0.23841,0.52477,p
0.73598,0.37474,p
0.77386,0.80201,n
0.29068,0.46811,n
0.11811,0.48390,n
0.07494,0.75782,n
0.06647,0.02157,p
0.44083,0.52570,n
0.52436,0.76293,p
0.09231,0.50966,n
0.25387,0.54072,p
0.20996,0.37879,n
0.57923,0.58169,n
0.31555,0.09236,p
0.02818,0.45640,p
0.36382,0.43589,n
0.34845,0.67502,n
0.57513,0.01473,n
0.42289,0.60605,n
0.28980,0.55514,n
0.18723,0.41268,n
0.29158,0.41819,n
0.52838,0.77744,p
0.28383,0.39092,n
0.28643,0.64208,p
0.44962,0.83943,p
0.18893,0.55862,n
0.14559,0.29984,p
0.39076,0.40564,n
0.89583,0.29219,p
0.28124,0.15950,p
0.99600,0.72070,p
0.21618,0.48062,n
0.21478,0.37335,n
0.11995,0.42111,n
0.91325,0.61904,p
0.19340,0.64737,n
0.85951,0.36252,n
0.24638,0.55929,n
0.90775,0.63941,p
0.52223,0.67141,p
0.23441,0.51909,n
0.38133,0.63187,n
0.28645,0.33830,n
0.29256,0.44080,n
0.40110,0.67927,n
0.97639,0.23325,p
0.09870,0.43671,p
0.14014,0.62466,n
0.23105,0.49860,n
0.50757,0.44277,p
0.30586,0.52006,n
0.16761,0.42007,p
0.10579,0.61410,n
0.71129,0.27045,p
0.25640,0.52153,n
0.96041,0.96918,p
0.94433,0.23969,p
0.06684,0.51468,n
0.15465,0.14171,p
0.34829,0.59517,n
0.50690,0.34018,n
0.44046,0.33972,p
0.32941,0.42363,p
0.06261,0.01693,p
0.56520,0.90518,p
0.21209,0.47512,n
0.19537,0.12189,p
0.82085,0.60806,p
0.94219,0.91692,p
0.45994,0.82220,p
0.90334,0.73397,n
0.94453,0.11592,p
0.69206,0.81568,p
0.32478,0.61201,n
0.38638,0.66247,n
0.90578,0.93886,p
0.11789,0.56309,n
0.29739,0.86338,p
0.20913,0.53288,n
0.05832,0.43969,p
0.81556,0.45991,p
0.77108,0.49021,p
0.18346,0.39987,n
0.59703,0.44010,p
0.10650,0.43342,n
0.45630,0.40087,n
0.11814,0.51865,n
0.18176,0.39344,n
0.13044,0.66483,p
0.29952,0.39853,n
0.03436,0.30217,p
0.14683,0.83550,p
0.81915,0.66889,p
0.87759,0.28322,p
0.46617,0.22011,p
0.33480,0.52877,n
0.30822,0.38281,n
0.85033,0.04590,p
0.34549,0.57099,n
0.35663,0.54815,n
0.66041,0.80858,p
0.28477,0.52190,n
0.07378,0.56865,n
0.49789,0.90913,p
0.49160,0.43971,p
0.55670,0.80941,p
0.32376,0.42486,n
0.67469,0.13092,p
0.58540,0.54805,n
0.40686,0.41779,n
0.02246,0.43147,n
0.45751,0.47469,n
0.12686,0.45228,n
0.36387,0.40723,n
0.15573,0.44109,n
0.16501,0.87566,p
0.76509,0.74612,p
0.29874,0.65949,n
0.12634,0.50666,n
0.17090,0.59014,n
0.10876,0.31596,p
0.49188,0.42405,n
0.23963,0.03097,p
0.18523,0.40386,n
0.17118,0.77929,p
0.23442,0.55754,n
0.23775,0.98490,p
0.56979,0.21586,p
0.90748,0.10672,p
0.09013,0.78479,p
0.23906,0.51301,n
0.14357,0.61270,n
0.28096,0.36008,n
0.47241,0.54836,n
0.71302,0.88939,p
0.39637,0.41997,n
0.14429,0.41138,n
0.00809,0.08121,p
0.30774,0.43229,n
0.24303,0.49300,n
0.24677,0.49317,n
0.39161,0.00504,p
0.33810,0.39165,p
0.16617,0.56429,n
0.69124,0.22526,p
0.14734,0.94780,p
0.49713,0.62729,n
0.20073,0.31507,p
0.10217,0.50686,n
0.12224,0.49551,p
0.38187,0.33017,n
0.68448,0.69498,p
0.09557,0.87325,p
0.13111,0.50041,n
0.11222,0.48078,p
0.40410,0.65389,p
0.27141,0.47767,n
0.10912,0.61450,n
0.17794,0.60612,n
0.78325,0.63835,n
0.30323,0.66394,p
0.49169,0.82970,p
0.71372,0.98083,p
0.09627,0.46144,n
0.23968,0.67101,p
0.42208,0.28010,p
0.07047,0.43005,n
0.42483,0.68348,n
0.14717,0.41865,n
0.07329,0.45831,n
0.29142,0.99714,p
0.52686,0.86696,p
0.34328,0.37323,p
0.27747,0.39744,n
0.19551,0.43391,p
0.30309,0.50643,n
0.85112,0.96592,n
0.73413,0.09774,p
0.07294,0.49895,p
0.36114,0.53690,n
0.45731,0.47542,n
0.41561,0.31983,n
0.22741,0.45330,p
0.51684,0.44999,n
0.37828,0.64494,n
0.54474,0.58437,n
0.61093,0.65946,p
0.14604,0.71272,p
0.10638,0.46936,n
0.86422,0.60052,p
0.01938,0.93437,p
0.14279,0.29916,p
0.62756,0.59039,p
0.22512,0.47252,p
0.11579,0.65173,p
0.59718,0.75805,p
0.38316,0.59115,n
0.60082,0.40352,p
0.81770,0.41789,p
0.44130,0.22166,p
0.56729,0.49818,p
0.87633,0.15821,p
0.45725,0.56644,p
0.30995,0.52130,n
0.41622,0.01668,p
0.06776,0.45262,n
0.35636,0.48258,p
0.51907,0.51773,n
0.31286,0.58887,n
0.41782,0.66352,n
0.32644,0.62395,n
0.80162,0.41394,p
0.07761,0.55574,n
0.75931,0.09342,p
0.21924,0.62437,n
0.84539,0.61028,n
0.26287,0.44186,p
0.10329,0.31545,n
0.27565,0.51206,n
0.25376,0.49338,n
0.20830,0.36212,n
0.46144,0.89004,n
0.47432,0.79837,p
0.39633,0.15851,p
0.07325,0.53652,n
0.04385,0.49736,p
0.46530,0.50598,n
0.54128,0.64029,n
0.21546,0.45734,p
0.46920,0.55343,n
0.85750,0.30041,n
0.16466,0.42308,n
0.94449,0.15560,p
0.35669,0.97569,p
0.26582,0.62094,n
0.35786,0.14558,p
0.54148,0.52412,n
0.17241,0.91976,p
0.08000,0.54326,n
0.16978,0.96974,p
0.37485,0.15666,p
0.63762,0.73322,p
0.15034,0.48943,n
0.46754,0.43680,n
0.90588,0.52193,p
0.48068,0.87567,p
0.00012,0.77807,p
0.17021,0.50373,n
0.73542,0.06278,p
0.06146,0.45840,p
0.84526,0.28269,p
0.08304,0.45966,n
0.53813,0.62089,n
0.83753,0.80348,p
0.56929,0.50395,p
0.61467,0.32605,p
0.39108,0.69546,n
0.10183,0.54665,n
0.10568,0.58802,p
0.73783,0.25833,p
0.96224,0.98400,p
0.36793,0.07783,p
0.01491,0.49304,p
0.13230,0.71094,p
0.36784,0.31999,n
0.20160,0.02190,p
0.23181,0.21246,p
0.38095,0.32456,p
0.25146,0.50378,n
0.14988,0.59775,p
0.09165,0.49529,n
0.25939,0.89936,p
0.40356,0.63037,n
0.18662,0.48653,n
0.33485,0.54866,n
0.42837,0.64588,n
0.41785,0.41463,n
0.58434,0.65008,p
0.43002,0.65060,n
0.59980,0.49799,p
0.29775,0.65385,n
0.95729,0.61346,p
0.27070,0.64767,n
0.32363,0.56638,n
0.37960,0.14729,p
0.63316,0.08934,p
0.45942,0.51539,n
0.80838,0.63443,p
0.23379,0.44710,n
0.46079,0.30237,p
0.23032,0.57048,n
0.29819,0.39493,n
0.19619,0.74789,n
0.36070,0.02133,p
0.21131,0.76090,p
0.02381,0.78201,p
0.16044,0.10830,p
0.69550,0.69347,p
0.33529,0.55876,n
0.29951,0.51122,n
0.69660,0.17992,p
0.26261,0.49113,n
0.26019,0.52692,n
0.10586,0.50250,p
0.36776,0.36694,n
0.02582,0.44960,p
0.35734,0.53234,n
0.48162,0.27908,p
0.07070,0.93941,p
0.47038,0.35746,n
0.43148,0.55688,n
0.90525,0.65076,p
0.41477,0.66440,n
0.47398,0.36276,n
0.36447,0.46307,n
0.57811,0.43444,n
0.52126,0.45253,n
0.23802,0.75967,p
0.06362,0.50390,n
0.61404,0.15702,p
0.94195,0.93414,p
0.42829,0.38147,n
0.25995,0.44846,n
0.26941,0.53529,n
0.25458,0.45373,n
0.06599,0.29438,p
0.45324,0.64049,n
0.22623,0.56576,n
0.15818,0.85400,p
0.34029,0.55071,n
0.12981,0.59351,n
0.05923,0.45732,n
0.29062,0.36274,n
0.78957,0.92251,p
0.22147,0.86958,p
0.69106,0.47280,p
0.27622,0.97725,p
0.45114,0.70225,p
0.71809,0.48583,n
0.21847,0.50862,n
0.36945,0.78417,p
0.76728,0.05314,p
0.32583,0.50591,n
0.83522,0.79406,p
0.20524,0.14379,p
0.25458,0.62328,n
0.48749,0.40939,n
0.24374,0.31506,p
0.03939,0.93251,p
0.53634,0.41721,n
0.53820,0.60818,n
0.85926,0.17598,p
0.22804,0.85639,p
0.45463,0.62705,n
0.47815,0.43335,n
0.33980,0.41559,n
0.78879,0.97576,p
0.54335,0.43697,n
0.36418,0.50858,n
0.84184,0.44545,n
0.54635,0.36670,n
0.31224,0.47881,n
0.12108,0.66676,p
0.47387,0.35041,n
0.80928,0.62570,p
0.73864,0.75529,p
0.36704,0.35276,n
0.52751,0.41451,n
0.89788,0.90752,p
0.49516,0.00144,p
0.55672,0.65741,p
0.80861,0.87054,p
0.11387,0.08728,p
0.52538,0.61462,n
0.51026,0.61207,n
0.46577,0.05199,p
0.63749,0.51965,p
0.28149,0.57781,n
0.30097,0.64886,n
0.34198,0.31262,n
0.79136,0.01975,p
0.19651,0.96592,p
0.86674,0.93117,p
0.26596,0.37972,n
0.22026,0.41288,p
0.28356,0.61382,n
0.07575,0.53535,n
0.27331,0.57095,n
0.09573,0.46540,n
0.55986,0.82808,p
0.84182,0.33114,p
0.13840,0.39781,n
0.30221,0.58281,n
0.09474,0.50125,p
0.21908,0.45024,p
0.16281,0.80368,p
0.19666,0.64134,n
0.23968,0.44913,n
0.18839,0.64728,n
0.07002,0.57423,p
0.10566,0.61558,n
0.20024,0.45405,n
0.23459,0.46770,n
0.25958,0.62101,n
0.54453,0.86365,p
0.23751,0.38465,n
0.30428,0.55021,n
0.63510,0.84199,n
0.61184,0.49427,p
0.73369,0.75268,p
0.17341,0.22860,p
0.15519,0.39737,n
0.85744,0.05232,p
0.98702,0.18103,p
0.68830,0.66278,p
0.20293,0.52641,n
0.24507,0.49965,n
0.09966,0.42355,n
0.10021,0.43318,n
0.20798,0.38208,n
0.84719,0.00524,p
0.13217,0.40662,p
0.92404,0.52175,p
0.25425,0.50585,p
0.22655,0.50551,n
0.15362,0.63591,n
0.29464,0.46772,n
0.12714,0.51697,p
0.13877,0.53555,n
0.99718,0.03089,p
0.51664,0.59018,p
0.18141,0.42585,n
0.27296,0.59525,n
0.90152,0.89155,p
0.88129,0.72654,p
0.17536,0.51652,n
0.30360,0.50799,n
0.40472,0.42789,p
