@relation VIRTUAL
@attribute x real
@attribute y real
@attribute class {0,1,2}

@data
4.672,5.710,2
1.492,2.337,1
1.297,2.496,1
5.170,5.793,2
4.767,3.327,2
0.865,4.987,0
3.179,2.354,2
4.460,2.309,2
1.278,2.188,1
3.561,4.044,0
1.411,3.924,0
2.302,2.555,1
1.847,3.224,0
4.288,3.927,2
2.917,5.349,2
1.496,2.828,1
2.892,4.498,2
1.792,4.723,0
1.310,2.094,1
5.278,6.798,2
1.349,3.086,1
3.290,3.590,2
1.327,2.828,1
1.226,3.120,0
1.303,2.799,1
1.643,3.198,1
0.953,1.882,1
2.739,3.665,2
1.140,2.548,1
1.205,3.131,1
1.785,3.159,1
3.904,5.176,2
1.515,3.376,0
5.036,2.268,2
0.762,3.522,0
3.703,4.425,2
1.402,3.399,0
1.340,5.328,0
1.448,4.852,0
1.993,2.771,1
2.442,3.219,0
4.856,4.965,2
6.021,4.786,2
1.576,3.893,0
2.196,4.274,0
1.738,5.211,0
1.330,3.092,1
3.090,5.031,2
1.806,4.713,0
1.528,5.167,0
2.387,2.205,1
1.578,2.304,1
3.175,3.134,2
3.024,3.133,2
1.062,4.275,0
5.453,4.427,2
1.836,3.076,0
4.313,3.236,2
4.481,2.883,2
2.244,4.221,0
1.274,2.638,1
3.260,3.680,0
1.894,2.023,1
0.981,2.552,1
1.303,2.068,1
6.184,2.270,2
1.611,3.408,2
1.155,3.124,0
2.745,6.452,0
1.254,2.305,1
1.800,4.335,0
1.636,5.011,0
3.471,5.439,2
1.080,3.360,0
1.302,2.372,1
0.940,4.955,0
2.518,2.835,2
2.296,3.859,2
0.515,3.660,0
1.389,2.153,1
3.401,3.989,2
1.924,3.051,0
1.072,2.695,1
2.514,5.636,0
1.459,2.122,1
4.007,3.040,2
0.775,4.278,0
2.363,3.473,0
2.254,3.713,0
3.079,1.909,2
5.135,5.110,2
1.299,2.129,1
2.233,4.061,0
1.526,2.807,0
3.775,3.254,0
1.497,2.331,1
1.839,4.620,0
2.601,3.530,0
3.344,4.134,2
1.506,2.665,1
4.967,5.886,2
2.566,2.694,0
1.676,2.205,1
2.072,2.072,1
2.658,3.324,0
1.999,3.931,0
4.858,3.711,2
3.433,4.988,2
4.538,3.078,2
1.660,3.066,1
1.549,2.473,1
1.219,3.478,0
1.947,3.932,0
1.925,3.476,0
1.584,3.559,0
1.997,5.117,0
3.522,5.416,2
3.963,3.870,2
2.394,3.930,0
3.463,4.259,2
1.266,4.379,0
2.419,3.604,2
2.138,2.784,1
2.765,3.506,0
1.534,2.232,1
1.674,4.354,0
1.523,4.561,0
2.005,2.590,1
6.094,2.844,2
2.822,4.141,2
1.062,2.057,1
3.782,4.243,2
2.278,2.929,1
2.238,3.893,0
4.666,2.306,2
5.038,2.880,2
1.608,1.975,1
2.019,3.334,0
1.050,2.465,1
1.830,2.590,1
1.911,3.017,0
4.521,3.812,0
1.926,4.136,0
3.301,3.583,2
4.077,4.616,2
3.985,3.883,2
4.087,3.641,2
3.155,3.567,0
1.754,1.953,1
2.285,3.314,0
4.638,4.334,2
1.157,3.663,1
1.705,2.023,1
4.648,3.005,2
3.296,3.548,0
3.276,4.705,2
3.354,3.848,0
0.782,1.964,1
1.204,4.810,0
2.302,3.252,2
1.163,3.370,0
4.551,4.274,2
1.342,2.120,1
2.091,3.372,0
2.143,4.918,0
0.983,3.203,0
1.307,2.524,1
2.951,4.266,0
1.120,2.424,1
0.922,3.635,0
4.074,3.978,2
2.691,4.404,2
1.759,2.023,1
1.179,2.283,1
2.782,6.143,2
