@relation PAKDD

@attribute id_shop numeric
@attribute sex numeric
@attribute marital numeric
@attribute age numeric
@attribute dependants numeric
@attribute education numeric
@attribute ignorephone numeric
@attribute area numeric
@attribute payday numeric
@attribute shoprank numeric
@attribute residence numeric
@attribute time numeric
@attribute mother numeric
@attribute father numeric
@attribute town numeric
@attribute state numeric
@attribute months numeric
@attribute prof numeric
@attribute sincome numeric
@attribute add numeric
@attribute card numeric
@attribute accounts numeric
@attribute mobile numeric
@attribute contact numeric

@attribute netincome numeric
@attribute booth numeric
@attribute add numeric
@attribute insurance numeric
@attribute class {0,1}


@data
22,1,4,44,0,0,1,31,12,0,0,12,0,0,1,0,48,731,0,0,1,0,1,1,300,0,0,1,0
15,1,0,18,0,0,0,31,20,0,0,216,0,0,0,0,12,853,0,0,1,0,1,1,300,0,0,1,0
24,1,1,22,0,0,0,31,8,0,0,48,0,1,0,0,12,40,0,0,1,0,1,1,229,0,0,1,0
12,1,1,47,0,0,1,31,25,0,0,180,0,0,1,0,24,35,0,0,1,0,1,1,304,0,0,1,0
16,1,0,28,0,0,0,31,25,0,4,12,0,0,0,0,12,24,0,0,1,0,1,1,250,0,0,1,0
24,0,0,26,0,0,1,31,28,0,0,180,0,0,1,0,0,999,0,0,1,0,1,1,800,0,0,1,0
55,1,0,22,0,0,0,31,12,0,2,0,0,0,0,0,48,999,0,0,1,0,1,1,410,0,0,1,0
6,1,1,21,0,0,0,23,28,0,2,24,0,0,0,0,12,40,800,0,1,0,1,1,248,0,0,1,0
3,1,0,27,0,0,0,31,20,0,2,0,0,0,0,0,0,950,0,0,1,0,1,1,1000,0,0,1,1
23,1,1,57,0,0,0,31,12,0,0,24,0,0,1,0,96,13,0,0,1,0,1,1,856,0,0,1,0
25,1,0,53,0,0,0,31,18,0,0,60,0,0,1,0,24,13,0,0,1,0,1,1,738,0,1,1,1
12,1,1,32,0,0,0,31,12,0,0,24,0,0,1,0,0,165,0,0,1,0,1,1,700,0,0,1,0
7,0,0,21,0,0,0,1,3,0,0,180,0,0,1,1,24,514,0,1,1,0,1,1,347,0,0,1,0
24,0,1,36,0,0,0,31,12,0,0,120,0,0,0,0,36,15,0,0,1,0,1,1,1987,0,1,1,0
7,0,0,26,0,0,0,27,1,0,0,240,0,0,1,0,12,26,0,0,1,0,1,1,1000,0,0,1,0
19,1,0,49,0,0,1,50,20,0,0,120,0,0,1,0,0,703,0,0,1,0,1,1,225,0,0,1,0
