@relation elec

@attribute nsdemand real
@attribute vicprice real
@attribute vicdemand real
@attribute transfer real
@attribute class {0,1}

@data
6702.0,2698.0,4814.0,12.0,0
6419.0,1999.0,4692.0,17.0,1
6202.0,2320.0,4833.0,-133.0,1
5894.0,2158.0,4742.0,80.0,1
5585.0,1576.0,4560.0,299.0,1
5395.0,1473.0,4392.0,529.0,1
5201.0,1421.0,4226.0,699.0,1
5040.0,1169.0,4094.0,774.0,1
4985.0,1118.0,3988.0,800.0,1
4931.0,1135.0,3889.0,800.0,1
5003.0,1380.0,3820.0,800.0,1
5036.0,1300.0,3826.0,800.0,1
5163.0,1371.0,3791.0,800.0,1
5346.0,1469.0,3824.0,683.0,1
5620.0,1477.0,3755.0,683.0,1
6092.0,1428.0,3801.0,683.0,1
6600.0,1545.0,3969.0,712.0,1
7066.0,2016.0,4079.0,652.0,1
7522.0,2254.0,4153.0,667.0,1
7750.0,2788.0,4223.0,653.0,0
7722.0,2704.0,4254.0,611.0,0
7650.0,3177.0,4246.0,688.0,0
7574.0,2938.0,4252.0,648.0,0
7432.0,2640.0,4265.0,602.0,0
7275.0,2388.0,4240.0,512.0,1
7076.0,1882.0,4207.0,564.0,1
6860.0,1610.0,4191.0,453.0,1
6695.0,1636.0,4128.0,353.0,1
6582.0,1254.0,4088.0,403.0,1
6559.0,1488.0,4050.0,403.0,1
6602.0,1701.0,4024.0,353.0,1
6674.0,1602.0,4050.0,548.0,1
6773.0,1561.0,4089.0,587.0,1
7103.0,1654.0,4189.0,528.0,1
7505.0,1984.0,4394.0,210.0,1
8001.0,3006.0,4712.0,59.0,0
8128.0,3201.0,4862.0,-22.0,0
8024.0,3065.0,4823.0,-15.0,0
7868.0,2964.0,4762.0,26.0,0
7679.0,2878.0,4721.0,62.0,0
7556.0,2454.0,4641.0,44.0,0
7464.0,2513.0,4599.0,118.0,0
7157.0,1865.0,4516.0,238.0,1
6836.0,1502.0,4486.0,583.0,1
6934.0,1711.0,4465.0,381.0,1
6900.0,1692.0,4474.0,416.0,1
6896.0,1919.0,4769.0,177.0,1
6627.0,1614.0,4728.0,273.0,1
6518.0,1660.0,4682.0,323.0,1
6263.0,1537.0,4597.0,396.0,1
6118.0,1679.0,4762.0,279.0,1
